Test Predictions,Actual Values
0.20804246,0.094214285713
0.22714604,0.35003571428999997
0.40542668,0.82966071427
1.059435,1.5652678571399998
2.2517788,3.0034464287000002
4.311994,4.7293571429000005
6.9686203,6.686375
9.5882435,9.0462678571
12.196908,11.211660714199999
14.741949,13.487571428499999
17.220005,16.073857142999998
19.619537,19.1855178571
22.60637,22.9773035704
26.25218,27.378392856999998
30.478262,31.665339285
34.81485,36.285339286
39.397324,40.546232143000005
43.757725,45.242642857
48.5505,51.268589286
55.340866,56.994464286
61.689484,61.320267856
65.90424,66.35475
72.139015,69.84592857
74.41506,73.51230357099999
78.018654,77.004964286
80.658676,80.471839286
83.80983,84.047160715
87.65324,88.040232143
92.7449,93.045142857
99.69615,98.11535714200001
104.56779,103.22566071300001
109.54775,109.916357143
117.76787,116.473946427
121.516426,121.583642855
123.40735,125.376982143
126.688255,129.205964285
132.9486,134.691321429
141.1918,138.97405357399998
141.97003,142.203035715
145.40703,145.342482143
148.60197,148.163875
149.1747,150.03766071500002
148.07118,151.400607143
149.38054,152.458660714
149.36292,153.362767857
149.9778,154.136321428
150.45255,154.521982143
149.59929,154.782803571
150.59181,154.95551785900003
150.13902,155.042499999
149.98396,155.054
149.81392,155.054
149.8686,155.054
149.75214,155.054
149.73141,155.054
149.73216,155.054
149.73216,155.054
149.73216,155.054
149.73216,155.054
149.73216,155.054
149.73216,155.054
149.73216,155.054
149.73209,155.054
149.73209,155.054
149.73216,155.054
149.73216,155.054
149.73216,155.054
149.73216,155.054
149.73216,155.054
149.73216,155.054
149.73216,142.682392857
52.818188,5.48
0.04409434,0.0
0.68775845,0.0
1.3140117,0.0
0.5446238,0.0
0.18620011,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729907,0.0
0.20729907,0.010785714286999998
0.20945011,0.147125
0.2400542,0.51671428572
0.58077335,1.167875
1.6273192,2.10851785717
3.238856,3.3516607144
5.0655246,4.3301964286
6.428206,5.7815714285
7.8757997,8.3893392858
10.269608,12.173660714199999
14.469286,16.251732142999998
19.741636,20.2085
23.861994,24.317625
27.307852,28.967267857
31.532297,33.569910713
36.428307,38.667482143
41.741493,43.143125
46.318367,48.746732142
52.383247,54.872517857
59.346306,59.566625002
64.08267,65.440089285
71.57572,70.080196428
75.78318,74.627392857
80.099655,79.038142858
83.814026,83.70805357
88.8729,88.164214287
93.28721,91.20700000100001
93.58726,94.700482143
99.67678,98.984910714
105.46014,103.45971428499999
109.539345,106.16725
107.39375,107.943267857
108.83616,110.010607143
112.99942,112.373446429
115.43684,117.01971428499999
123.65326,121.52207142799999
124.9009,125.31330357200001
127.45434,128.658964285
131.27534,131.510142856
133.91309,135.10025
139.77115,137.07525
136.68987,138.206142858
138.67647,139.893357143
141.74278,141.885178572
142.52907,143.82533928700002
143.8521,145.141321431
142.9597,146.141660715
143.68031,146.886107143
142.96439,147.346928572
142.25288,147.54605357300002
141.58159,147.61369642900002
141.28731,147.615
140.87587,147.615
140.83215,147.615
140.70787,147.615
140.70976,147.615
140.70976,147.615
140.70976,147.615
140.70976,147.615
140.70976,147.615
140.70976,147.615
140.70976,147.615
140.70976,147.615
140.7097,147.615
140.7097,147.615
140.70976,147.615
140.70976,147.615
140.70976,147.615
140.70976,147.615
140.70976,147.615
140.70976,147.615
140.70976,146.773625
135.27812,8.0886607142
18.149605,0.0
0.61556137,0.0
1.286278,0.0
0.7918389,0.0
0.18951061,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729911,0.0
0.20729907,0.0
0.20729907,0.000125
0.20732406,0.031982142858
0.21372715,0.25787499998999996
0.30458722,0.7125535714400001
0.87564576,1.35371428572
2.0065665,2.33860714279
3.5080535,3.7936250001
5.4352126,5.3989285714
7.635216,7.7327857144
10.336807,10.3775892856
13.437006,12.9857142857
16.706406,16.296785714600002
19.878576,19.3718392858
23.01093,22.6990892843
26.297655,26.436607141
29.684242,30.951428571
34.088806,36.232500002
39.448925,42.166446427000004
45.60437,47.109107142
50.47435,51.624017858
54.949043,57.588696428000006
62.37509,62.847196428000004
68.22523,66.67392857099999
71.60247,70.553910715
75.57092,73.35369642900001
76.559425,75.61101785800001
77.57203,79.62741071500001
83.898125,83.19241071500001
86.49795,86.104285715
88.503,89.520267857
93.69159,93.966214287
100.18702,97.24619642900001
100.751564,101.087249999
106.99731,103.822196429
106.66621,107.405053571
112.83791,112.656607142
119.484024,115.500857143
113.93378,117.847910713
119.06115,120.80521428600001
124.19482,124.020075397
127.04112,126.692821427
128.28322,129.013339286
130.90602,130.614732143
131.25148,131.923267858
132.93199,133.035125
133.56891,134.031446428
134.31056,134.901839286
134.75276,135.566625
134.7881,136.028428571
134.74591,136.308
134.50621,136.41944643099998
134.12082,136.429
133.8862,136.429
133.87242,136.429
133.7808,136.429
133.77422,136.429
133.77464,136.429
133.77464,136.429
133.77464,136.429
133.77464,136.429
133.77464,136.429
133.77464,136.429
133.77464,136.429
133.77464,136.429
133.77464,136.429
133.77464,136.429
