Actual,Predicted
0.0,78064.18666407853
0.0,65969.31348125485
0.0,53609.376058606445
0.0,41347.08840641188
0.0,29543.154258247967
0.0,18537.022073310727
0.0,8628.920469165474
0.0,64.26749860357086
0.0,-6978.605485116408
0.0,-12396.687329082066
0.0,-16166.008534990877
0.0,-18340.668583957347
0.0,-19047.28460012903
0.0,-18475.26481288433
0.0,-16863.570075879616
0.0,-14484.841517123088
0.0,-11627.92840191294
0.0,-8579.937773665806
0.0,-5608.941142773794
0.0,-2948.4132066917227
0.0,-784.3479040658858
0.0,754.1926362036902
0.0,1600.5775147769018
0.0,1751.9035570234992
0.0,1266.1177992651792
61.261904762,255.26882639121322
324.529761903,-1124.560615471768
819.5059523699999,-5532.206300221456
1717.74999999,-6415.74757426072
2751.9761904,-6705.50191607693
3850.3750001,-6268.637947178926
4888.4285715,-5016.665933514887
6160.8214287,-2910.0459069947974
8229.2071429,40.823210534857935
10969.9880953,3778.202883416321
13269.5178572,8202.920295577751
16593.1785714,13183.069183256506
19980.9821428,18564.80638918442
21888.8928567,24184.407251817007
24533.3809524,29880.666605544924
29346.7321444,35506.72179794306
32973.535714,40940.429683198585
36823.174999,46092.54661159204
39799.292857,50912.13027499312
43389.953574,55388.79265022745
47752.761904,59551.66878514127
51726.053571,63465.21013890168
55271.107142,67222.14614265907
59620.946429,70934.16678082265
63932.303572,74721.0474957426
69163.071429,78699.0536766611
73879.196429,82969.51691256257
77961.321428,87608.4653497565
81491.803572,92658.11640680715
85448.928572,98120.9068701935
89618.464288,103956.55247555935
94351.839285,110082.4093131675
100265.464287,116377.16825863763
105649.507142,122687.66824547142
108951.89881,128838.38211191798
112657.625,134642.92635081892
115985.999999,139916.78824006754
119794.52381,144490.361956498
122858.380952,148221.34705689218
125887.767858,151005.59152897805
128208.535714,152785.55613016037
130816.017856,153555.73079895647
133059.166667,153364.5376025913
134620.839284,152312.49413707785
135859.303572,150546.67022125068
136646.75,148251.73140540504
137121.857143,145638.1071211508
137350.446429,142928.0321321127
137449.607144,140340.37242140938
137473.0,138075.24889497808
137473.0,136299.50669520086
87463.0,135134.041232854
87463.0,134643.88595245176
87463.0,134831.7978122034
87463.0,135635.85509956704
87463.0,136931.3230396203
87463.0,138536.76265229273
87463.0,140224.07610318513
87463.0,141731.91633907903
87463.0,142781.6579167286
87463.0,143094.94548116467
87463.0,142411.718686442
87463.0,140507.56590002723
87463.0,137209.28740850464
87463.0,132407.6507066242
87463.0,126066.48964088153
87463.0,118227.52492536973
87463.0,109010.55131663529
0.0,98608.92915568782
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
1.5714285719999999,
90.732142856,
364.42857145,
844.14285715,
1554.51785715,
2492.4642857,
3675.8035714,
5239.1964287,
7313.9285714,
9738.4285713,
12581.1607143,
15980.7857143,
19501.7499999,
22719.8571434,
25885.821429,
29357.875001,
33606.303571,
37151.339286,
41729.910714,
46531.178572,
50857.839286,
55151.375,
59174.821428999996,
63265.732143,
68117.660715,
72740.00000100001,
77410.214288,
83231.750002,
88657.196429,
93901.625,
99005.142857,
103092.767857,
106775.339286,
110655.267857,
115194.250002,
119100.142857,
122927.607143,
126558.160714,
129491.642857,
131875.910714,
133816.767858,
135491.982143,
136983.553572,
138270.839283,
139414.285714,
140379.071428,
141132.160715,
141650.196429,
141954.464285,
142092.642855,
142114.0,
142114.0,
142114.0,
142114.0,
142114.0,
142114.0,
142114.0,
142114.0,
142114.0,
142114.0,
142114.0,
142114.0,
142114.0,
142114.0,
142114.0,
